name,rating,text
Number 16 Restaurant,5,"My husband and I were wowed by our experience at number 16. It was our last meal of our honeymoon, and we wanted a really good dinner. I cannot say enough about this restaurant. The food was exquisite. Everything from the soup to the entrees, to the incredible lemon dessert thing! The service was excellent too! I wish I could remember our servers name. He was super tall with reddish hair. 20 some thing.

I think one of the best references we can give is that we were sitting next to a party who were locals. Will locals as in three hours from the restaurant. They said that they never miss coming to the restaurant every time they’re in town. The next time we are in Glasgow, we will definitely make it back!"
Number 16 Restaurant,5,"A great find thanks to the Michelin Guide, where Number 16 very much deserves to be. Lovely little place with very friendly staff, really delicious food (the cured sea bass to start was absolutely exceptional). Really glad to have found this place: highly recommend."
Number 16 Restaurant,5,"My partner & I tried 2 starters, 2 mains and 2 desserts from their 3 course set menu. We love everything! From the service to the plating, and esp the careful & well put together pairing of fusion of flavours in each plate was simply divine. Highly recommended :-)"
Number 16 Restaurant,5,"We discovered this wonderful restaurant today. We ate duck leg terrine, cured salmon, venison ragu, pork belly & coconut parfait. Every dish was perfectly balanced and totally delicious. This small, but perfectly formed restaurant, is a must visit! Great service & lovely intimate atmosphere."
Number 16 Restaurant,5,"Out for our anniversary dinner..
We both agreed that this was probably the best food we have had in the Glasgow area.

The food was exceptional and the service matched the food..
Great little restaurant with reasonably priced delicious food.. We will definitely be back.."
Ox and Finch,5,"We ordered 8 dishes in total (3 people) and everything was very well-seasoned and delicious! 🤤
Highly recommend the lamb shoulders, 🐑 buffalo mozzarella with kale, cod cheek and poached beam 🐟
Rump steak was okay 🥩 but we loved the sauce
Dessert looked beautiful and tasted surreal🥹
Service was quite quick and the staff were very friendly☺️"
Ox and Finch,5,"We love this place - tapas style, small dish, price is reasonable to share in big groups (do come in big groups so you can try most of the menu - we regretted not having friends in Glasgow to try this). Definitely will come back!

It seemed like they have seasonal menu and change up the dish, so we didn't get the recommended beef caparccio. However, the rest of the menu piqued our interest.

We have:

- Beef tartare (11/10): Presentation was ON POINT! The beef was sweet, umami, the egg yolk was light and airy, croutons added lots of crunchy character and made it so fun in the mouth to eat. The horseradish gave a fresh and refreshing taste. AMAZING!

- Stone bass crudo (7/10): The fish was fresh, chewy, nice + paired well with the sauce. Definitely on the saltier side so we thought it would go well with some white wine. However, we don't like the hazelnut - it wasn't crunchy, the particularly hazelnut taste didn't blend well.

- Spiced haddock (9/10): The spice was amazing + the SAUCE. We licked the dish clean.

- Blood orange and fennel panzanella (9/10): The spice was amazing + the SAUCE. We licked the dish clean.

Even at 4pm, the place still had 4-5 tables so definitely recommend reservations."
Ox and Finch,5,"The perfect dining experience!
This was our second visit to Ox & Finch (the first in pre-Covid times) and it was just as we remembered it; outstanding from start to finish!
Every single dish we ordered was exceptional; you can tell that every dish has been thought through diligently and utilises the best ingredients with outstanding care to detail.  The recommendations from their excellent staff were amazing even though one recommended dish was out of my comfort zone it was perfectly balanced and tasted sublime - so thank you for making the recommendation.
I doubt there is a better restaurant in the UK let alone Glasgow which compares with the experience and food at Ox & Finch - this is not hyperbole on my part, I have dined in everything from casual establishments to Michelin starred restaurants across the world and I, personally, think this is the best restaurant I've ever eaten in - I only wish I lived closer so I could do so more regularly.
The range of dishes allows for any and all palettes to be satisfied, we ordered a number of dishes (some pictured) and they all complemented each other; thanks to the recommendations.
The staff are very attentive without being overbearing and on this particular visit they went above and beyond which was very much unexpected but very much appreciated.  They engage when you wish to and leave you to enjoy in the perfect balance.
I cannot recommend them highly enough, whether a local or on a visit to Glasgow make sure you book in for the perfect dining experience at Ox & Finch."
Ox and Finch,5,"one of the best MICHELIN GUIDE restaurant!

service was the best, explained well on how the food will come (tapas style : out when its cooked) & described the menu well

we ordered :
- fried artichoke (7/10) : mix of salty from the frying oil and sour from the yoghurt
- duck liver parfait (9/10) : very delicious! savoury from the pate combined with the toast & berry jam
- cod cheeks (9/10) : texture’s nice & a bit chewy just like scallop
- grilled coley (4/10) : too salty for us unfortunately
- slow cooked lamb shoulder (10/10) : MUST TRY! very delicious, lamb was very tender & juicy, combined with the herbs it was like HEAVEN
- pan seared pork fillet (9/10) : delicious & tasty, pork is juicy & succulent
- dry rump steak (9/10) : peppercorn sauce compliments the juicy meat

i recommend u to reserve online before visiting as it gets crowded"
Ox and Finch,5,"Went on a Friday evening. Had a really good time. The food was good and we loved the dishes. Great value for money and good portion sizes.

I recommend the crab tubetti, rump steak, slow cooked lamb and the feta cheese flat bred, absolutely delicious.

Server was friendly. If we are ever back in the city would definitely try again."
